5,Restorative justice || Restorative justice practices
11,Human physiology || Human physiology 
26,Linguistics terminology || Linguistics terminology 
47,Trailers and semi-trailers || Semi-trailers
61,"Towns in Hinsdale County, Colorado || Geography of Hinsdale County, Colorado"
73,Mathematics education || Mathematics education 
82,Medical terminology || Medical terminology 
93,"Census-designated places in San Joaquin County, California || San Joaquin County, California"
97,Oolong tea || Oolong teas
148,Pediatric health and hygiene || Pediatric care and hygiene
151,All-wheel-drive vehicles || All-wheel drive vehicles
156,Directors of the Federal Bureau of Investigation || Federal Bureau of Investigation directors
158,George W. Bush administration personnel || W. Bush administration personnel || George H. W. Bush administration personnel
160,Obama administration personnel || Barack Obama administration personnel
165,Nerve injuries || Nerve injury
174,Large intestine || Large intestine (colon)
185,Inorganic chemistry concepts || Inorganic chemistry concepts 
221,Pioneers in electromagnetism || Pioneers of electromagnetism and electrochemistry || Pioneers of electromagnetism
225,Economic timing strategies || Economic timing strategies for consumers
243,Busiest airports by passenger traffic || Busiest airports worldwide by passenger traffic
278,Antibiotic resistance tests || Antibiotic resistance testing
289,Animal breeds originating in Scotland || Mammal breeds originating from Scotland
321,Mountain ranges of Italy || Italian mountain ranges
326,Book of Isaiah || Isaiah (book of the Bible)
360,Employment classifications || Job classifications
373,Geography of Puget Sound || Geography of Puget Sound region
374,Largest islands in the United States by area || Largest islands of the United States by area
435,Hvac terminology || HVAC terminology
467,Ice-type Pokémon || Ice-type Pokemon
468,Ground-type Pokémon || Ground-type Pokemon
488,Microsoft Excel file formats || Excel file formats
489,Tabular data standards || Tabular data standards and conventions
503,Bureau of Labor Statistics data releases || Bureau of Labor Statistics data releases and reports || United States Bureau of Labor Statistics data releases
505,Aerodynamics of animals || Aerodynamics in animals
506,Swallows (birds) || Swallows
511,Consulting firms established in the 20th century || Consulting firms established in 1996
545,Cyrus family || Tish Cyrus family || Miley Cyrus family
555,Operating system technology || Operating systems technology
558,Windows 7 || Microsoft Windows 7
566,Road transport occupations || Road transportation occupations
596,Culinary herbs and spices || Culinary herbs and spices 
599,Olympic Games in antiquity || Ancient Olympic Games
603,E-government in the United States || E-Government in the United States
613,Sinking of the RMS Titanic || Sinking of RMS Titanic
624,Social security in the United States || Social Security in the United States
650,Apache Software Foundation projects || Apache Software Foundation
651,Internet protocols || Internet Protocols
654,Iris (anatomy) || Iris anatomy
677,Beverage marketing in the United States || Beverage industry marketing in the United States
716,Mexican painters || 20th-century Mexican painters
719,Woman artists from Mexico || 20th-century Mexican women artists
724,Siblings of presidents of the United States || Siblings of United States presidents
741,Levers || Levers (mechanics)
755,Water-type Pokémon || Water-type Pokemon
762,Meteorology and climate by state in the United States || Meteorology and climate by state
765,Property taxes in the United States || Property tax in the United States
779,Republican Party (United States) || The Republican Party (United States)
787,Gates family || Gates family (business)
789,Billionaires in the United States || Billionaires in the United States 
817,Warrant officers of the United States Armed Forces || Warrant officers in the United States military
830,Writing systems of Europe || Writing systems in Europe
835,Nootropics || Nootropic drugs || Nootropic agents
853,Individual retirement accounts || Individual Retirement Accounts
867,Federal Employees Retirement System || Federal Employees' Retirement System
888,Manganese dioxide batteries || Manganese compounds in batteries
894,Tissue biology || Tissue biology 
927,Bacterial morphology and anatomy || Bacterial morphology and anatomy terms
934,Circuit simulation software tools || Circuit simulation software
951,Cultural history of the American Civil War || Cultural history of the American Civil War era
952,Dixieland music and culture || Dixieland music
970,Burglar tools || Burglar tools and methods
980,Civilian casualties in war || Civilian casualties of war
981,Presidency of Richard Nixon || History of the presidency of Richard Nixon
1016,"Benton County, Oregon || Cities in Benton County, Oregon"
1017,Willamette Valley || Southern Willamette Valley
1021,Census-designated places in New York (state) || Census-designated places in New York
1039,Debt collection law in the United States || Debt collection laws in the United States
1068,Infectious diseases with vector transmission || Infectious diseases with vector transmission mechanisms
1074,Legislative branch of the United States government || Legislative branch of the United States
1082,Etymology of computer terminology || Etymology of computer terms
1096,Musicians from Liverpool || Liverpool musicians
1104,Mexican–American War || Mexican-American War
1127,Father's Day || Father's Day in the United States
1132,"Geography of Currituck County, North Carolina || Populated places in Currituck County, North Carolina"
1138,"Bloomington–Normal, Illinois metropolitan area || Bloomington-Normal, Illinois metropolitan area"
1184,Cohorts by birth year || Cohorts by year of birth
1192,Minor league baseball teams || Minor League Baseball teams
1198,Fuel pricing in India || Petroleum pricing in India || Taxation and fuel pricing in India
1237,Myers-Briggs Type Indicator || Myers–Briggs Type Indicator
1248,Speech and language pathology || Speech-language pathology
1262,Diabetes-related supplies and equipment || Diabetes-related supplies and devices || Diabetes-related supplies
1276,Entomology terminology || Entomological terminology
1277,"Dictionaries of abbreviations and acronyms || Dictionaries of abbreviations, acronyms, and initialisms"
1302,Anatomy of the human back || Anatomy of the back
1331,Automotive safety technologies || AUTOMOTIVE SAFETY TECHNOLOGIES 
1367,Diy projects || DIY projects
1394,Oxygen transport in blood || Oxygen transport in blood 
1395,Etymology of personal names || Etymology of personal names 
1449,Virtual private networks || Virtual private network
1472,Heads of state by country || Heads of government by country
1504,Songs written by Kristen Anderson-Lopez and Robert Lopez || Songs written by Robert Lopez and Kristen Anderson-Lopez
1506,Symptoms and signs: musculoskeletal system || Symptoms and signs: Musculoskeletal system
1534,"Cities in Chatham County, Georgia || Census-designated places in Chatham County, Georgia || Populated places in Chatham County, Georgia"
1554,"Towns in Rockingham County, New Hampshire || Geography of Rockingham County, New Hampshire"
1567,Louis XIV of France || Louis XIV
1572,"Stroudsburg, Pennsylvania || East Stroudsburg, Pennsylvania"
1577,Fibromyalgia || Fibromyalgia syndrome
1584,Graphical user interface elements || Graphical user interfaces elements
1607,Farmland valuation in the United States || Farmland values in the United States
1625,Education finance in the United States || Education finance in the United States 
1628,Novels by Charles Dickens || Charles Dickens novels
1632,Sales taxes in the United States || Sales tax in the United States
1680,Physical geography terms || Physical geography terms 
1687,Civil rights movement in the United States || Civil Rights Movement in the United States
1690,"African-American history of Washington, D.C. || African-American history in Washington, D.C."
1694,Sustainable building practices || Sustainable building practices 
1706,Cultural icons of the United States || Cultural icons in the United States
1713,Civil rights organizations in the United States || American civil rights organizations
1716,Non-profit organizations based in Maryland || Organizations based in Maryland
1722,Champagne || Champagne (wine)
1737,Leasing || Leasing (finance)
1746,Discrete mathematics || Discrete geometry
1761,Veterans' health administration || Veterans' health administration in the United States
1782,Health sciences || Health science
1792,Beverage companies of Mexico || Beverages companies of Mexico
1795,Executive branch of the United States government || Executive branch of the U.S. government
1813,Public schools in Massachusetts || Public education in Massachusetts
1863,Comcast || Comcast Xfinity
1915,Chief Justice of the United States || Chief Justices of the United States
1916,Vice Presidents of the United States || Vice presidents of the United States
1917,Impeached presidents of the United States || Impeached Presidents of the United States
1942,Rabbit diseases || Infectious rabbit diseases
1979,History of electrical engineering || Electrical engineering history
1997,IBM software || Ibm software
1998,Enterprise content management systems || Enterprise content management software
2026,Donald Trump 2016 presidential campaign || Donald Trump 2020 presidential campaign
2031,Densities of celestial bodies || Densities of astronomical bodies
2048,Web browsers || Internet browsers
2063,Zoning || Zoning law
2068,Canon law (Catholic Church) || Canon law
2071,Theology terminology  || Theology terminology
2080,Welfare economics || Welfare economics 
2112,MPEG-2 video compression || MPEG-2 video codecs
2121,Cyndi Lauper songs || Songs written by Cyndi Lauper
2125,Salsa music || Salsa music genres
2154,Theatrical sound design || Theatrical sound production
2172,Biguanides (medication) || Biguanides (medications)
2181,1697 books || 1697 works
2200,Electronic toll collection systems || Electronic toll collection
2218,Reproductive endocrinology and infertility || Reproductive endocrinology and infertility medicine
2227,Technical drawing || Engineering drawing
2231,Architecture in the United Kingdom || Architecture of the United Kingdom
2240,Epistemology concepts || Epistemology concepts and theories
2243,North Atlantic Ocean islands || Northern Atlantic Ocean islands
2260,Tuna as food || Tuna (food)
2265,Greece and medicine in classical antiquity || Ancient Greek medicine || History of medicine in ancient Greece
2295,Environmental issues || Environmental problems
2306,Corporate taxation in the United States || Corporate tax in the United States
2308,S corporations || S Corporations
2317,Eric Clapton songs || Songs written by Eric Clapton
2331,Systems theory || Systems
2346,Screencasting software tools and techniques || Screencasting software
2367,"Geography of Box Elder County, Utah || Towns in Box Elder County, Utah"
2390,"Companies based in San Francisco, California || Companies based in San Francisco"
2393,Economic sharing models and services || Economic sharing models
2400,"Comanche County, Oklahoma || Census-designated places in Comanche County, Oklahoma || Cities in Comanche County, Oklahoma"
2412,Sensory organs in animals || Sensory organs of animals
